"CODIGO_FILIAL";"TICKET";DATA_VENDA;"ITEM";"TERMINAL";"LANCAMENTO_CAIXA";"NUMERO_CUPOM_FISCAL";"PERIODO_FECHAMENTO";"VENDEDOR";"VENDEDOR_APELIDO";"PRODUTO";"DESC_PRODUTO";"COR_PRODUTO";TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;"MATERIAL";"PERIODO_PCP";"TABELA_OPERACOES";"TIPO_PRODUTO";"TABELA_MEDIDAS";"GRUPO_PRODUTO";"SUBGRUPO_PRODUTO";"COLECAO";"GRADE";"LINHA";"GRIFFE";"CARTELA";"REFER_FABRICANTE";"MODELAGEM";"FABRICANTE";"ESTILISTA";"MODELISTA";"TAM";"COD_CATEGORIA";"CATEGORIA_PRODUTO";"SUBCATEGORIA_PRODUTO"
"3058  ";"00027965";17/01/25;"0009";"001";"171P003";"025338   ";"01";"1077";"GERENTE                  ";"AI0092      ";"MASCHERINA DA NOTTE SETA                ";"019       ";1;0;-1;-1;-149;-149;0;0;0;0;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"Z_TAGLIE_I003 TAGLIA UNIC";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI0092                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"TU      ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00027624";03/01/25;"0002";"001";"031P01A";"025063   ";"01";"1530";"MARCIA                   ";"AI0092      ";"MASCHERINA DA NOTTE SETA                ";"019       ";1;1;1;0;149;0;0;149;0;149;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"Z_TAGLIE_I003 TAGLIA UNIC";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI0092                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"TU      ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00031109";20/08/25;"0001";"001";"208P008";"027938   ";"01";"1114";"CRIS                     ";"AI00FA      ";"FASCIA AUTOREGGENTE SCHIENE TRASPARENTI ";"044_V2    ";3;0;-1;-1;-249;-249;0;0;0;0;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE 1-6 INT           ";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00FA                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"3       ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00028814";21/03/25;"0002";"001";"213P007";"026021   ";"01";"1114";"CRIS                     ";"AI00FA      ";"FASCIA AUTOREGGENTE SCHIENE TRASPARENTI ";"044_V2    ";2;0;-1;-1;-249;-249;0;0;0;0;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE 1-6 INT           ";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00FA                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"2       ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00029049";07/04/25;"0004";"001";"074P007";"026213   ";"01";"1114";"CRIS                     ";"AI00FA      ";"FASCIA AUTOREGGENTE SCHIENE TRASPARENTI ";"044_V2    ";3;1;1;0;249;0;0;249;0;249;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE 1-6 INT           ";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00FA                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"3       ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00031043";15/08/25;"0001";"001";"158P006";"027885   ";"01";"1114";"CRIS                     ";"AI00FA      ";"FASCIA AUTOREGGENTE SCHIENE TRASPARENTI ";"044_V2    ";3;1;1;0;249;0;0;249;0;249;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE 1-6 INT           ";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00FA                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"3       ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00029510";12/05/25;"0001";"001";"125P00A";"026607   ";"01";"1530";"MARCIA                   ";"AI00FA      ";"FASCIA AUTOREGGENTE SCHIENE TRASPARENTI ";"044_V2    ";3;1;1;0;249;0;0;249;0;249;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE 1-6 INT           ";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00FA                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"3       ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00032375";15/11/25;"0001";"001";"15BP00C";"028989   ";"01";"5059";"AGATHA                   ";"AI00CS      ";"COPPE SILICONE                          ";"479J      ";3;0;-1;-1;-219;-219;0;0;0;0;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE XS/S-L/XL ACC COPP";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00CS                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"M/L     ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00028634";06/03/25;"0001";"001";"063P007";"025879   ";"01";"1114";"CRIS                     ";"AI00CS      ";"COPPE SILICONE                          ";"479J      ";2;1;1;0;219;0;0;219;0;219;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE XS/S-L/XL ACC COPP";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00CS                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"S/M     ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00032970";15/12/25;"0001";"001";"15CP008";"029505   ";"01";"1114";"CRIS                     ";"AI00CS      ";"COPPE SILICONE                          ";"479J      ";2;1;1;0;219;0;0;219;0;219;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE XS/S-L/XL ACC COPP";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00CS                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"S/M     ";"1     ";"SENHORA                  ";"SENHORA                  "
"3058  ";"00031974";19/10/25;"0001";"001";"19AP00C";"028654   ";"01";"1114";"CRIS                     ";"AI00CS      ";"COPPE SILICONE                          ";"479J      ";2;1;1;0;219;0;0;219;0;219;"";"";"";"PRODUTO ACABADO          ";"";"ACESSORIOS               ";"ACESSORIOS               ";"1     ";"TAGLIE XS/S-L/XL ACC COPP";"INTIMISSIMI              ";"INTIMISSIMI ( IN )       ";"      ";"AI00CS                   ";"";"CALZEDONIA S.P.A.        ";"                         ";"                         ";"S/M     ";"1     ";"SENHORA                  ";"SENHORA                  "
